X,Y,Z,topic,Source
Children are INCREDIBLY active,they also are going to have a more difficult time staying active with the child.,sup,older_people_better_parents,micro_c005.xml
"the inexperience of a young parent can be offset by their parents (the child's grandparents), god parents, and family friends.","While I do acknowledge that older parents do have more life knowledge,",und,older_people_better_parents,micro_c005.xml
"It would seem to me to discourage physical activity if the parents are older, and this is at a time when children as a whole are becoming less physically fit and less active.","and may be able to offer their child more guidance when it comes to difficult decisions that child will have to face,",und,older_people_better_parents,micro_c005.xml
"While it might be tempting to think that older parents will exercise better judgment in childrearing,",Older people do not necessarily make better parents.,reb,older_people_better_parents,micro_c006.xml
it is simply not the case that growing older means growing wiser.,"While it might be tempting to think that older parents will exercise better judgment in childrearing,",reb,older_people_better_parents,micro_c006.xml
Younger parents will likely have levels of physical energy and stamina more closely aligned to their children's.,Older people do not necessarily make better parents.,sup,older_people_better_parents,micro_c006.xml
"Young mothers are more likely to bear healthy children,",Older people do not necessarily make better parents.,sup,older_people_better_parents,micro_c006.xml
"Finally, older parents will reach the age at which they need support from their children when their children are relatively young and not yet in the peak earning years.",Older people do not necessarily make better parents.,sup,older_people_better_parents,micro_c006.xml
Older people are far more mature than this new generation of slackers and hipsters.,Do older people make better parents? In this day and age the answer can only be yes.,sup,older_people_better_parents,micro_c007.xml
"Older people make far more money than younger people on average,",Do older people make better parents? In this day and age the answer can only be yes.,sup,older_people_better_parents,micro_c007.xml
Older people have far more experience than younger people.,Do older people make better parents? In this day and age the answer can only be yes.,sup,older_people_better_parents,micro_c007.xml
"Some might say that older people are not physically fit enough to take care of children the way younger people would be,",Do older people make better parents? In this day and age the answer can only be yes.,reb,older_people_better_parents,micro_c007.xml
"but health is on decline for younger people as well,",so that really does not make much of a difference now.,sup,older_people_better_parents,micro_c007.xml
so that really does not make much of a difference now.,"Some might say that older people are not physically fit enough to take care of children the way younger people would be,",und,older_people_better_parents,micro_c007.xml
but insisting all babies be perfect is demanding the impossible as well as demeaning to people already living who are disabled.,"Some might say being too old risks the child being disabled,",und,older_people_better_parents,micro_c008.xml
They have had time to mature more and learn about themselves.,I think it's possible for older people to be better parents.,sup,older_people_better_parents,micro_c008.xml
They're more likely to have steady careers going,so they can provide for a child.,sup,older_people_better_parents,micro_c008.xml
so they can provide for a child.,I think it's possible for older people to be better parents.,sup,older_people_better_parents,micro_c008.xml
"Some might say being too old risks the child being disabled,",I think it's possible for older people to be better parents.,reb,older_people_better_parents,micro_c008.xml
They will be more able to make sure their kids have everything they need.,Older parents may make better parents.,sup,older_people_better_parents,micro_c010.xml
They may be more financially secure.,They will be more able to make sure their kids have everything they need.,sup,older_people_better_parents,micro_c010.xml
One problem is they may not be as able to keep up with their kids or not be able to do as much fun stuff with them.,Older parents may make better parents.,reb,older_people_better_parents,micro_c010.xml
But they can provide a more stable home.,One problem is they may not be as able to keep up with their kids or not be able to do as much fun stuff with them.,und,older_people_better_parents,micro_c010.xml
Poaching is a criminal act that has ebbed and flowed over the course of time as consumer demand has fluctuated. Many of these criminal acts come out of countries where governments consist of officials easily corrupted through monetary payments or status changes.,It's the criminals who commit these violent acts against wildlife who need to be 'removed' from society itself.,sup,removal_of_rhino_horns,micro_c011.xml
The costs involved with the solution of removing the horns to prevent future poaching is throwing money away,It's the criminals who commit these violent acts against wildlife who need to be 'removed' from society itself.,sup,removal_of_rhino_horns,micro_c011.xml
"to sidestep the real issues which are lax to nonexistent policing, non-consistent prosecution and lenient sentencing.",The costs involved with the solution of removing the horns to prevent future poaching is throwing money away,sup,removal_of_rhino_horns,micro_c011.xml
It's the criminals who commit these violent acts against wildlife who need to be 'removed' from society itself.,"No,the rhino's horns should not be removed to protect them from being poached.",sup,removal_of_rhino_horns,micro_c011.xml
Bad way to go.,The horns of wild rhinos should not be removed to prevent them from being poached.,sup,removal_of_rhino_horns,micro_c012.xml
"When you mutilate an animal, you are the problem.",Bad way to go.,sup,removal_of_rhino_horns,micro_c012.xml
"Removing the rhino horns is the crime, not just removing the rhino's horns for money.","When you mutilate an animal, you are the problem.",sup,removal_of_rhino_horns,micro_c012.xml
Saying that you are mutilating the animal to protect people from mutilation poaching is absurd,Bad way to go.,sup,removal_of_rhino_horns,micro_c012.xml
because either way the rhino is mutilated.,Saying that you are mutilating the animal to protect people from mutilation poaching is absurd,sup,removal_of_rhino_horns,micro_c012.xml
It's an attack on the animal.,Bad way to go.,sup,removal_of_rhino_horns,micro_c012.xml
"On one hand, yes I think removing rhinos' horns would be a good idea.","No, the horn of wild rhinos should not be removed to prevent them from being poached.",reb,removal_of_rhino_horns,micro_c013.xml
"If a rhino doesn't have it's horn, then there is no benefit for someone killing it other than to just be cruel.","On one hand, yes I think removing rhinos' horns would be a good idea.",sup,removal_of_rhino_horns,micro_c013.xml
"But at the same time, I think just going ahead and removing it's horns is kind of cruel.","No, the horn of wild rhinos should not be removed to prevent them from being poached.",sup,removal_of_rhino_horns,micro_c013.xml
Don't they need them for survival?,"But at the same time, I think just going ahead and removing it's horns is kind of cruel.",sup,removal_of_rhino_horns,micro_c013.xml
"While cutting down on the poaching incidents would be wonderful,",removing the horns of wild rhinos is not the answer.,reb,removal_of_rhino_horns,micro_c014.xml
so if they were gone they would be very susceptible to death,removing the horns of wild rhinos is not the answer.,sup,removal_of_rhino_horns,micro_c014.xml
"Horns are the rhinos' natural protection mechanism,",so if they were gone they would be very susceptible to death,sup,removal_of_rhino_horns,micro_c014.xml
Removing the horns of wild rhinos leaves them defenseless.,"No, the horn of rhinos should not be removed to prevent them from being poached.",sup,removal_of_rhino_horns,micro_c015.xml
Some say removing the horns will keep poachers from killing rhinos.,"No, the horn of rhinos should not be removed to prevent them from being poached.",reb,removal_of_rhino_horns,micro_c015.xml
"Unfortunately, there is little to back up this position.",Some say removing the horns will keep poachers from killing rhinos.,reb,removal_of_rhino_horns,micro_c015.xml
Poachers have been known to kill rhinos out of anger or simple meanness.,Some say removing the horns will keep poachers from killing rhinos.,reb,removal_of_rhino_horns,micro_c015.xml
Rhinos are becoming extinct.,Removing rhinos' horns humanely will save their lives.,sup,removal_of_rhino_horns,micro_c017.xml
Poachers kill the rhinos with no regard.,Rhinos are becoming extinct.,sup,removal_of_rhino_horns,micro_c017.xml
We live in the age of technology,but the constant use of cell phones is definitely not bringing families closer together.,reb,cell_phones_and_social_media_improve_families,micro_c018.xml
Family time used to be about spending quality time and actually talking to each other.,but the constant use of cell phones is definitely not bringing families closer together.,sup,cell_phones_and_social_media_improve_families,micro_c018.xml
This is driving a wedge between families,but the constant use of cell phones is definitely not bringing families closer together.,sup,cell_phones_and_social_media_improve_families,micro_c018.xml
Family time needs to be a time where cell phones are put away and interaction with each other has everyone's full attention.,but the constant use of cell phones is definitely not bringing families closer together.,sup,cell_phones_and_social_media_improve_families,micro_c018.xml
If this doesn't change we could find that families become even more dysfunctional as a unit.,and it needs to be rectified.,sup,cell_phones_and_social_media_improve_families,micro_c018.xml
"Though, there has been no scientific research to date that can confirm this outcome.",If this doesn't change we could find that families become even more dysfunctional as a unit.,reb,cell_phones_and_social_media_improve_families,micro_c018.xml
so that means families are communicating when they otherwise wouldn't have.,This is likely to bring them closer together on average.,sup,cell_phones_and_social_media_improve_families,micro_c020.xml
"They have allowed for easier communication,",so that means families are communicating when they otherwise wouldn't have.,sup,cell_phones_and_social_media_improve_families,micro_c020.xml
They stay in touch with each other throughout the day,"Have cell phones and social media made families closer? We would like to think that these modern inventions have accomplished the opposite,",reb,cell_phones_and_social_media_improve_families,micro_c023.xml
"and for those that live far apart, social media and unlimited cell phone plans have made it possible to have daily contact rather than waiting for special occasions.","Have cell phones and social media made families closer? We would like to think that these modern inventions have accomplished the opposite,",reb,cell_phones_and_social_media_improve_families,micro_c023.xml
Long distance rates no longer apply like they did when I was a child.,"however, it seems as though families are closer nowadays.",sup,cell_phones_and_social_media_improve_families,micro_c023.xml
I can talk to my cousins whenever I like.,Long distance rates no longer apply like they did when I was a child.,exa,cell_phones_and_social_media_improve_families,micro_c023.xml
"I have to admit though, that having the ability to communicate so freely does not mean that we do it.",Long distance rates no longer apply like they did when I was a child.,und,cell_phones_and_social_media_improve_families,micro_c023.xml
"however, it seems as though families are closer nowadays.","Have cell phones and social media made families closer? We would like to think that these modern inventions have accomplished the opposite,",reb,cell_phones_and_social_media_improve_families,micro_c023.xml
We can improve our day to day life a lot.,"Yes, cell phones and social media have made families closer.",sup,cell_phones_and_social_media_improve_families,micro_c024.xml
Because it consumes very less time as a communication channel.,We can share all of our thought instantly.,sup,cell_phones_and_social_media_improve_families,micro_c024.xml
Cell phones and social media are really useful for society.,We can improve our day to day life a lot.,sup,cell_phones_and_social_media_improve_families,micro_c024.xml
We can share all of our thought instantly.,Cell phones and social media are really useful for society.,sup,cell_phones_and_social_media_improve_families,micro_c024.xml
Because it helps raise awareness,Eco-tourism can help protect wild areas and animals.,sup,eco-tourism_protects_nature,micro_c025.xml
and also helps fund the groups trying to protect the areas.,Eco-tourism can help protect wild areas and animals.,sup,eco-tourism_protects_nature,micro_c025.xml
Once two people can trust each other and are best friends as well as lovers they should feel free to get engaged.,People should date long enough to know each other. This will vary from couple to couple.,sup,dating_before_engagement,micro_c027.xml
"Taking the time to get to know someone, especially someone you plan to spend your whole life with, is critical.",People should date at least one year before getting engaged.,sup,dating_before_engagement,micro_c028.xml
"Though some people may believe shorter time would be okay,",People should date at least one year before getting engaged.,reb,dating_before_engagement,micro_c028.xml
"looking at the high rate of divorce,","Though some people may believe shorter time would be okay,",reb,dating_before_engagement,micro_c028.xml
Everyone has their own circumstances.,Therefore there's no simple hard and fast rule that suffices for this question.,sup,dating_before_engagement,micro_c029.xml
Some people may be more comfortable with extended dating.,Everyone has their own circumstances.,sup,dating_before_engagement,micro_c029.xml
It takes at least this long to get to know each other on a level deeper than attraction.,People should date for at least 1 year before they become engaged.,sup,dating_before_engagement,micro_c030.xml
They should use this time to learn of each others character and beliefs.,People should date for at least 1 year before they become engaged.,sup,dating_before_engagement,micro_c030.xml
Families should get to know them as a couple as well.,People should date for at least 1 year before they become engaged.,sup,dating_before_engagement,micro_c030.xml
"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",People should date for at least 1 year before they become engaged.,reb,dating_before_engagement,micro_c030.xml
but it also takes a much larger chance that the couple will actually be compatible in the long run.,"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",und,dating_before_engagement,micro_c030.xml
People should get to know each other well before they become engaged.,I say they need to date at least one year.,sup,dating_before_engagement,micro_c031.xml
To do so will take time though.,People should get to know each other well before they become engaged.,und,dating_before_engagement,micro_c031.xml
That will give them time to see the good and the bad.,To do so will take time though.,und,dating_before_engagement,micro_c031.xml
because we already get enough oil from other countries and without fracking.,"Therefore, we don't need to frack,",sup,fracking,micro_c032.xml
We can also use other energy sources besides oil like electricity and natural gas.,"Therefore, we don't need to frack,",sup,fracking,micro_c032.xml
especially because it's unhealthy for the surrounding areas and it's people.,"Therefore, we don't need to frack,",sup,fracking,micro_c032.xml
Fracking causing environmental problems such as polluting the water supply.,Fracking is unnecessary and unsafe.,sup,fracking,micro_c034.xml
"Also, fracking has been shown to destabilize the ground and cause earthquakes in the Midwest.",Fracking is unnecessary and unsafe.,sup,fracking,micro_c034.xml
There are other sources of energy that are safer than using fracking.,Fracking is unnecessary and unsafe.,sup,fracking,micro_c034.xml
The chemicals used to get the gas out of the ground are not proven safe.,There are other sources of energy that are safer than using fracking.,sup,fracking,micro_c034.xml
Some may say that fracking is needed,Fracking is unnecessary and unsafe.,reb,fracking,micro_c034.xml
"because we need more energy,",Some may say that fracking is needed,sup,fracking,micro_c034.xml
but this argument ignored alternative energy sources,Some may say that fracking is needed,reb,fracking,micro_c034.xml
and the questionable safety of fracking.,Some may say that fracking is needed,reb,fracking,micro_c034.xml
The potential contamination damage caused by the fracking process is outweighed by the reduction of energy costs to the American household.,"Yes, we need fracking despite its risks.",sup,fracking,micro_c035.xml
Fracking has uncovered cheap natural gas.,The potential contamination damage caused by the fracking process is outweighed by the reduction of energy costs to the American household.,sup,fracking,micro_c035.xml
"If one blamed a movie for their relationship problems, they are in denial about issues that are already there.",I do not believe movies have any effect on relationships.,sup,romantic_movies_endanger_relationships,micro_c037.xml
Movies are an escape,I do not believe movies have any effect on relationships.,sup,romantic_movies_endanger_relationships,micro_c037.xml
One could argue that it's just a movie and you shouldn't let it affect your life.,You begin to resent your partner for not behaving the way they do in the movies. Women are especially prone to this.,und,romantic_movies_endanger_relationships,micro_c038.xml
"When you spend your time watching unrealistic romantic movies, you start thinking it's reality.",You begin to resent your partner for not behaving the way they do in the movies. Women are especially prone to this.,sup,romantic_movies_endanger_relationships,micro_c038.xml
You begin to resent your partner for not behaving the way they do in the movies. Women are especially prone to this.,"Yes, the expectations raised by romantic movies are damaging to real relationships.",sup,romantic_movies_endanger_relationships,micro_c038.xml
"However, people can't always distinguish between the two.",One could argue that it's just a movie and you shouldn't let it affect your life.,und,romantic_movies_endanger_relationships,micro_c038.xml
"In movies, every situation is dramatic and overblown, unlike real life.",which causes a damaging imbalance in real relationships.,sup,romantic_movies_endanger_relationships,micro_c039.xml
"I think that, to some extent, romantic movies can leave an impression on viewers about what they think their real life relationships should be.","Yes, the expectations raised by romantic movies are damaging to real relationships.",sup,romantic_movies_endanger_relationships,micro_c040.xml
"Most people can tell the difference between reality and movies,","I think that, to some extent, romantic movies can leave an impression on viewers about what they think their real life relationships should be.",reb,romantic_movies_endanger_relationships,micro_c040.xml
but seeing perfect fictional relationships can give people false expectations.,"Most people can tell the difference between reality and movies,",und,romantic_movies_endanger_relationships,micro_c040.xml
They may wish they had that in their real lives even though it was obviously written for entertainment purposes.,but seeing perfect fictional relationships can give people false expectations.,sup,romantic_movies_endanger_relationships,micro_c040.xml
The expectations of real relationships based on what people see in movies is way over dramatized.,"Yes, the expectations raised by romantic movies are damaging to real relationships.",sup,romantic_movies_endanger_relationships,micro_c041.xml
We have everyday responsibilities that you don't see in movies.,If people think that their life should turn out like a movie and then find out it is way different they should not be shocked.,sup,romantic_movies_endanger_relationships,micro_c041.xml
We have mundane and boring moments and lots of them.,If people think that their life should turn out like a movie and then find out it is way different they should not be shocked.,sup,romantic_movies_endanger_relationships,micro_c041.xml
I have a hard time believing too that in real life people that we would tend to be attracted to would even be closely comparable to a character in a movie.,If people think that their life should turn out like a movie and then find out it is way different they should not be shocked.,sup,romantic_movies_endanger_relationships,micro_c041.xml
"Romantic movies set high expectations for relationships, sometimes even unrealistic.","Yes, expectations raised by romantic movies can be damaging to real relationships.",sup,romantic_movies_endanger_relationships,micro_c042.xml
"In romantic movies, they do not show the truth behind a real romantic relationship.","Romantic movies set high expectations for relationships, sometimes even unrealistic.",sup,romantic_movies_endanger_relationships,micro_c042.xml
"It only shows the good, positive side of the relationship, not the genuine, real difficult times the couple goes through.","In romantic movies, they do not show the truth behind a real romantic relationship.",sup,romantic_movies_endanger_relationships,micro_c042.xml
Recycling will help save land that would have to be turned into a landfill.,"Yes, recycling really makes a difference.",sup,influence_of_recycling,micro_c043.xml
It is undeniable that the space and resources of this planet are scarce.,Recycling will help save land that would have to be turned into a landfill.,sup,influence_of_recycling,micro_c043.xml
When we recycle we are making less trash that winds up in our landfills.,"One should always try to reuse, reduce and recycle anything that they can.",sup,influence_of_recycling,micro_c044.xml
"There are many benefits to recycling,","One should always try to reuse, reduce and recycle anything that they can.",sup,influence_of_recycling,micro_c044.xml
It also makes people feel like they are really making an impact on the environment by doing something that is very easy and doesn't take much time to do.,"There are many benefits to recycling,",exa,influence_of_recycling,micro_c044.xml
I really don't see any downside to recycling.,"One should always try to reuse, reduce and recycle anything that they can.",sup,influence_of_recycling,micro_c044.xml
one being we are using less energy by recycling then we use by producing new items.,"There are many benefits to recycling,",exa,influence_of_recycling,micro_c044.xml
"because without it, there would be an abundance of paper, glass, and plastic.",Recycling really does make a difference,sup,influence_of_recycling,micro_c045.xml
Recycling helps the environment,Recycling really does make a difference,sup,influence_of_recycling,micro_c045.xml
by keeping non-natural things out of it.,Recycling helps the environment,sup,influence_of_recycling,micro_c045.xml
"It also helps keep plastics, which are not biodegradable, out of the environment, and from getting into our water supplies.",Recycling really does make a difference,sup,influence_of_recycling,micro_c045.xml
because they tend to cause distraction.,Car drivers should be prohibited from using cell phones,sup,prohibition_of_phones_while_driving,micro_c046.xml
Holding the cell phone in the hand while driving and talking causes attention to be diverted off the roads and traffic.,because they tend to cause distraction.,sup,prohibition_of_phones_while_driving,micro_c046.xml
as the driver ends up using just one hand instead of both hands on the steering wheel.,This causes further hindrance to safe driving,sup,prohibition_of_phones_while_driving,micro_c046.xml
Cell phone usage could be limited to blue tooth only,as the driver ends up using just one hand instead of both hands on the steering wheel.,und,prohibition_of_phones_while_driving,micro_c046.xml
as it can help drivers attend to urgent calls while keeping hands free from the phone and on the steering wheel at all times.,Cell phone usage could be limited to blue tooth only,sup,prohibition_of_phones_while_driving,micro_c046.xml
"Using a cell phone while driving distracts drivers from road hazards and the task at hand,",potentially putting the driver and others on the road at risk of a serious accident.,sup,prohibition_of_phones_while_driving,micro_c047.xml
potentially putting the driver and others on the road at risk of a serious accident.,Driving while using cell phones is dangerous.,sup,prohibition_of_phones_while_driving,micro_c047.xml
"While the use of a mobile GPS can be necessary in many cases,",Driving while using cell phones is dangerous.,reb,prohibition_of_phones_while_driving,micro_c047.xml
"ultimately, the cons of using cells when driving outweigh this value.","While the use of a mobile GPS can be necessary in many cases,",und,prohibition_of_phones_while_driving,micro_c047.xml
A vehicle can be a lethal weapon if used carelessly.,Car drivers should be prohibited from using cell phones while driving,sup,prohibition_of_phones_while_driving,micro_c048.xml
because their full attention should be on the road and any potential hazards.,A vehicle can be a lethal weapon if used carelessly.,sup,prohibition_of_phones_while_driving,micro_c048.xml
"Some may say that just talking in a car while driving is a distraction, even without holding a cell phone;",Car drivers should be prohibited from using cell phones while driving,reb,prohibition_of_phones_while_driving,micro_c048.xml
"however, anything that helps keep a driver's attention on driving, is a positive.","Some may say that just talking in a car while driving is a distraction, even without holding a cell phone;",und,prohibition_of_phones_while_driving,micro_c048.xml
Not allowing driver to talk on their cell phones will prevent many accidents and tragedies.,Car drivers should be prohibited from using cell phones while driving,sup,prohibition_of_phones_while_driving,micro_c048.xml
Driving cars while talking on the telephone has been proven again and again to lead to increased numbers of accident.,"Yes, car drivers should be strictly prohibited from using cell phones.",sup,prohibition_of_phones_while_driving,micro_c049.xml
You cannot focus properly on the road if you are distracted by the phone.,Driving cars while talking on the telephone has been proven again and again to lead to increased numbers of accident.,sup,prohibition_of_phones_while_driving,micro_c049.xml
"Being distracting by one's cell phone can significantly increase the chances of getting into a major car accident, cause harm to the driver, their passengers and other motorists on the road.",Any caught driving while operating a cell phone should be punished with steep fines.,sup,prohibition_of_phones_while_driving,micro_c051.xml
"but the truth of the matter is, driving needs the driver's full attention.","No matter who good a driver you might think you are, and you may feel that your paying attention well enough,",reb,prohibition_of_phones_while_driving,micro_c051.xml
"No matter who good a driver you might think you are, and you may feel that your paying attention well enough,","Being distracting by one's cell phone can significantly increase the chances of getting into a major car accident, cause harm to the driver, their passengers and other motorists on the road.",reb,prohibition_of_phones_while_driving,micro_c051.xml
Using a cell phone while driving is extremely dangerous.,Prohibiting car drivers from using their cell phones while driving would go a long way to making our roads safer.,sup,prohibition_of_phones_while_driving,micro_c052.xml
"Any time a driver is focused on a handheld device, they are not paying attention to the road.",Using a cell phone while driving is extremely dangerous.,sup,prohibition_of_phones_while_driving,micro_c052.xml
"Some people might argue that they could miss an important call while driving,",Prohibiting car drivers from using their cell phones while driving would go a long way to making our roads safer.,reb,prohibition_of_phones_while_driving,micro_c052.xml
but it is far better to pull to the side of the road and take the call rather than to keep driving.,"Some people might argue that they could miss an important call while driving,",reb,prohibition_of_phones_while_driving,micro_c052.xml
Recycling lessens the likelihood of wildlife death related to littering.,All states should adopt a deposit on soft dring bottles and cans in order to promote recycling.,sup,promote_recycling_by_bottle_deposit,micro_c053.xml
People are more likely to recycle if there is monetary value involved.,All states should adopt a deposit on soft dring bottles and cans in order to promote recycling.,sup,promote_recycling_by_bottle_deposit,micro_c053.xml
"Also, if one state adopts a deposit on soft drink bottles and cans in order to promote recycling then all of the states should adopt this deposit.",All states should adopt a deposit on soft dring bottles and cans in order to promote recycling.,sup,promote_recycling_by_bottle_deposit,micro_c053.xml
"However, one would question if people will drive around wasting gas to get to the recycling center.",All states should adopt a deposit on soft dring bottles and cans in order to promote recycling.,reb,promote_recycling_by_bottle_deposit,micro_c053.xml
The idea of saving wildlife and gaining money from the recycling products would be expected to outweigh the negative aspect of having to use gas actually recycle.,"However, one would question if people will drive around wasting gas to get to the recycling center.",und,promote_recycling_by_bottle_deposit,micro_c053.xml
I regularly see people bringing huge amounts of bottles and cans to grocery stores to recycle them.,this indicates to me that deposits promote recycling and should therefore be adopted.,sup,promote_recycling_by_bottle_deposit,micro_c054.xml
"While I do not have exact statistics on the topic,",this indicates to me that deposits promote recycling and should therefore be adopted.,reb,promote_recycling_by_bottle_deposit,micro_c054.xml
This has also become a source of income for homeless people.,this indicates to me that deposits promote recycling and should therefore be adopted.,sup,promote_recycling_by_bottle_deposit,micro_c054.xml
"I see homeless people picking up littered cans so they can later recycle them for the deposit, which seems good to me.",This has also become a source of income for homeless people.,sup,promote_recycling_by_bottle_deposit,micro_c054.xml
because it greatly incentives recycling.,All states should adopt a deposit on soft drink bottles and cans,sup,promote_recycling_by_bottle_deposit,micro_c056.xml
The five or ten cent deposit is noticeable and serves as a reminder of recycling during checkout.,because it greatly incentives recycling.,sup,promote_recycling_by_bottle_deposit,micro_c056.xml
"Once you have collected a bag or two full of cans and bottles, returning those cans and bottles is worth $5-$15, a meaningful amount of money for many people and families.",The five or ten cent deposit is noticeable and serves as a reminder of recycling during checkout.,exa,promote_recycling_by_bottle_deposit,micro_c056.xml
Recycling is vital,because it greatly incentives recycling.,sup,promote_recycling_by_bottle_deposit,micro_c056.xml
"Protecting our environment is crucial to combating climate change,",one small change is to promote the recycling of soft drink bottles and cans.,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
one small change is to promote the recycling of soft drink bottles and cans.,By developing a small deposit on these cans,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
"This is a simple way to reuse plastic and other materials, to decrease the amount of gas that it harvested.",one small change is to promote the recycling of soft drink bottles and cans.,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
you encourage people to pick these cans up along the road,By developing a small deposit on these cans,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
thus creating a cleaner environment.,you encourage people to pick these cans up along the road,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
It is also a benefit as it encourages people to go to stores to recycle,By developing a small deposit on these cans,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
and then spend that money at the shop increasing the amount spent at the store,It is also a benefit as it encourages people to go to stores to recycle,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
and encouraging economic growth.,and then spend that money at the shop increasing the amount spent at the store,sup,promote_recycling_by_bottle_deposit,micro_c057.xml
it would help the environment,"A deposit on soft drink bottles is a really good idea,",sup,promote_recycling_by_bottle_deposit,micro_c058.xml
and clean up the roads.,"A deposit on soft drink bottles is a really good idea,",sup,promote_recycling_by_bottle_deposit,micro_c058.xml
The areas of green space are littered with cans.,and clean up the roads.,sup,promote_recycling_by_bottle_deposit,micro_c058.xml
The items you can make from recycling are good for the environment,"A deposit on soft drink bottles is a really good idea,",sup,promote_recycling_by_bottle_deposit,micro_c058.xml
Social media has allowed teenagers a constant way to communicate with each other,"All in all, I would definitely say that social media has improved the life of teenagers.",sup,social_media_improves_teenager_lives,micro_c059.xml
as well as an easy way to find new potential friends.,"All in all, I would definitely say that social media has improved the life of teenagers.",sup,social_media_improves_teenager_lives,micro_c059.xml
Numerous people meet new people everyday using platforms such as Facebook and Twitter from the comfort of their own homes.,as well as an easy way to find new potential friends.,exa,social_media_improves_teenager_lives,micro_c059.xml
Social Media also allows teenagers to get a look at someone's life before learning more about them.,"All in all, I would definitely say that social media has improved the life of teenagers.",sup,social_media_improves_teenager_lives,micro_c059.xml
Some social media platforms even make money for teenagers if they have enough followers.,"All in all, I would definitely say that social media has improved the life of teenagers.",sup,social_media_improves_teenager_lives,micro_c059.xml
because they have the world at their fingertips.,"Social media has improved the lives of teenagers,",sup,social_media_improves_teenager_lives,micro_c060.xml
They can use social media to gather important information from friends and families to enhance the academic abilities.,because they have the world at their fingertips.,sup,social_media_improves_teenager_lives,micro_c060.xml
"Teenagers have the opportunity to engage with teachers, professors and leaders to gain great knowledge for their academic studies.",because they have the world at their fingertips.,sup,social_media_improves_teenager_lives,micro_c060.xml
specifically because they are not yet developed enough to handle it.,Social media has been largely detrimental to teenagers,sup,social_media_improves_teenager_lives,micro_c061.xml
Social media has eliminated many barriers and limited privacy in such a way that has made teens very vulnerable.,specifically because they are not yet developed enough to handle it.,sup,social_media_improves_teenager_lives,micro_c061.xml
"Social bullying is a rampant issue,",Social media has been largely detrimental to teenagers,sup,social_media_improves_teenager_lives,micro_c061.xml
